"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The east African rift system: tectonics, climate and biodiversity","https://scispace.com/paper/T8WGCwdy38UJ","","","","U Ring
C Albrecht
F Schrenk","","https://www.academia.edu/download/81228844/Ring_20et_20al._20Wiley_20book.pdf","… of mantle plume activity under East Africa. Two distinct rift … East Africa and floral and faunal—including human—evolution. But linking global climate changes to biodiversity in East Africa …",""
"Why Do Tropical Mountains Support Exceptionally High Biodiversity? The Eastern Arc Mountains and the Drivers of Saintpaulia Diversity","https://scispace.com/paper/why-do-tropical-mountains-support-exceptionally-high-aai603p0n5","2012","Journal Article","PLOS ONE","Dimitar Dimitrov
David Nogués-Bravo
Nikolaj Scharff","10.1371/JOURNAL.PONE.0048908","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0048908&type=printable","… We find that high levels of biodiversity in the Eastern Arc … climatic refugia for lowland lineages during the Pleistocene by … of lowland micro-refugia during the Pleistocene, which may …","We combine information about the evolutionary history and distributional patterns of the genus Saintpaulia H. Wendl. (Gesneriaceae; 'African violets') to elucidate the factors and processes behind the accumulation of species in tropical montane areas of high biodiversity concentration. We find that high levels of biodiversity in the Eastern Arc Mountains are the result of pre-Quaternary speciation processes and environmental stability. Our results support the hypothesis that climatically stable mountaintops may have acted as climatic refugia for lowland lineages during the Pleistocene by preventing extinctions. In addition, we found evidence for the existence of lowland micro-refugia during the Pleistocene, which may explain the high species diversity of East African coastal forests. We discuss the conservation implications of the results in the context of future climate change."
"Geographic barriers and Pleistocene climate change shaped patterns of genetic variation in the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp","2017","Journal Article","Scientific Reports","Mario Mairal
Isabel Sanmartín
Alberto Herrero
Lisa Pokorny
Pablo Vargas
Juan José Aldasoro
Juan José Aldasoro
Marisa Alarcón","10.1038/SREP45749","https://www.nature.com/articles/srep45749.pdf","… 3) postdates the age of establishment of the Afromontane forest 16 (Early Pleistocene, ca. 2.4 Ma 32 ), and is roughly coincidental with a period of aridification in East Africa, peaking at …","The Eastern African Afromontane forest is getting increased attention in conservation studies because of its high endemicity levels and shrinking geographic distribution. Phylogeographic studies have found evidence of high levels of genetic variation structured across the Great Rift System. Here, we use the epiphytic plant species Canarina eminii to explore causal explanations for this pattern. Phylogeographic analyses were undertaken using plastid regions and AFLP fragments. Population genetic analyses, Statistical Parsimony, and Bayesian methods were used to infer genetic diversity, genealogical relationships, structure, gene flow barriers, and the spatiotemporal evolution of populations. A strong phylogeographic structure was found, with two reciprocally monophyletic lineages on each side of the Great Rift System, high genetic exclusivity, and restricted gene flow among mountain ranges. We explain this pattern by topographic and ecological changes driven by geological rifting in Eastern Africa. Subsequent genetic structure is attributed to Pleistocene climatic changes, in which sky-islands acted as long-term refuges and cradles of genetic diversity. Our study highlights the importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest."
"Sequential fragmentation of Pleistocene forests in an East Africa biodiversity hotspot: chameleons as a model to track forest history","https://scispace.com/paper/sequential-fragmentation-of-pleistocene-forests-in-an-east-58uvqhpw2t","2011","Journal Article","PLOS ONE","G. John Measey
Krystal A. Tolley","10.1371/JOURNAL.PONE.0026606","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0026606&type=printable","… Here we present an historical scenario of Pleistocene vicariance in a forest chameleon now restricted to isolated fragments on inselbergs of the northernmost Eastern Arc Mountains. …","Background: The Eastern Arc Mountains (EAM) is an example of naturally fragmented tropical forests, which contain one of the highest known concentrations of endemic plants and vertebrates. Numerous paleo-climatic studies have not provided direct evidence for ancient presence of Pleistocene forests, particularly in the regions in which savannah presently occurs. Knowledge of the last period when forests connected EAM would provide a sound basis for hypothesis testing of vicariance and dispersal models of speciation. Dated phylogenies have revealed complex patterns throughout EAM, so we investigated divergence times of forest fauna on four montane isolates in close proximity to determine whether forest break-up was most likely to have been simultaneous or sequential, using population genetics of a forest restricted arboreal chameleon, Kinyongia boehmei. Methodology/Principal Findings: We used mitochondrial and nuclear genetic sequence data and mutation rates from a fossil-calibrated phylogeny to estimate divergence times between montane isolates using a coalescent approach. We found that chameleons on all mountains are most likely to have diverged sequentially within the Pleistocene from 0.93–0.59 Ma (95% HPD 0.22–1.84 Ma). In addition, post-hoc tests on chameleons on the largest montane isolate suggest a population expansion ,182 Ka. Conclusions/Significance: Sequential divergence is most likely to have occurred after the last of three wet periods within the arid Plio-Pleistocene era, but was not correlated with inter-montane distance. We speculate that forest connection persisted due to riparian corridors regardless of proximity, highlighting their importance in the region’s historic dispersal events. The population expansion coincides with nearby volcanic activity, which may also explain the relative paucity of the Taita’s endemic fauna. Our study shows that forest chameleons are an apposite group to track forest fragmentation, with the inference that forest extended between some EAM during the Pleistocene 1.1–0.9 Ma."
"Conserving biodiversity in East African forests: a study of the Eastern Arc Mountains","https://scispace.com/paper/conserving-biodiversity-in-east-african-forests-a-study-of-da60yb81yp","2001","Book","","William D. Newmark","","","… this book to users in East Africa, particularly natural resource … the Eastern Arc forests, the problems, principles, and approaches discussed in relationship to conserving biodiversity have …","Tanzania is one of the most biologically diverse nations in the world. Traveling from west to east across Tanzania, one encounters an incredible array of ecosystems and species. Beginning at Lakes Victoria, Tanganyika, and Nyasa that form much of the western boundary of Tanzania, one finds the most diverse and some of the most spectacular concentrations of endemic fish in any of the world's lakes. Moving further inland from the lakes, one meets the woodlands and plains of Serengeti, Ngorongoro, Tarangire, and Lake"
"Climate cycles, habitat stability, and lineage diversification in an African biodiversity hotspot","https://scispace.com/paper/vwLCHgazvuEJ","","","","RCK Bowie
WB Monahan
J Fjeldså","","","… Eastern Arc in the Pleistocene. In general, the lack of evidence for the expansion of paleoendemic lineages out of refugia in the Eastern Arc … bird communities in East Africa difficult. This …",""
"A long‐standing Pleistocene refugium in southern Africa and a mosaic of refugia in East Africa: insights from mtDNA and the common eland antelope","https://scispace.com/paper/a-long-standing-pleistocene-refugium-in-southern-africa-and-1gcxaw1w9u","2010","Journal Article","Journal of Biogeography","Eline D. Lorenzen
Charles Masembe
Peter Arctander
Hans R. Siegismund","10.1111/J.1365-2699.2009.02207.X","https://www.academia.edu/download/50780307/Eline-D-Lorenzen-et-al-A-long-standing-Pleistocene-refugium-in-southern-Africa-and-a-mosaic-of-refugia-in-East-Africa-insights-from-mtDN.pdf","… the hypothesis of Pleistocene refugia occurring in East and … south and a mosaic of Pleistocene refugia in the east, verifying … of the common eland inhabiting East Africa could result from …","Aim Previous genetic studies of African savanna ungulates have indicated Pleistocene refugial areas in East and southern Africa, and recent palynological, palaeovegetation and fossil studies have suggested the presence of a long-standing refugium in the south and a mosaic of refugia in the east. Phylogeographic analysis of the common eland antelope, Taurotragus oryx (Bovidae), was used to assess these hypotheses and the existence of genetic signatures of Pleistocene climate change.



Location  The sub-Saharan savanna biome of East and southern Africa.



Methods  Mitochondrial DNA control-region fragments (414 bp) from 122 individuals of common eland were analysed to elucidate the phylogeography, genetic diversity, spatial population structuring, historical migration and demographic history of the species. The phylogeographic split among major genetic lineages was dated using Bayesian coalescent-based methods and a calibrated fossil root of 1.6 Ma for the split between the common eland and the giant eland, Taurotragus derbianus.



Results  Two major phylogeographic lineages comprising East and southern African localities, respectively, were separated by a net nucleotide distance of 4.7%. A third intermediate lineage comprised only three haplotypes, from Zimbabwe in southern Africa. The estimated mutation rate of 0.097 Myr−1 revealed a more recent common ancestor for the eastern lineage (0.21 Ma; 0.07–0.37) than for the southern lineage (0.35 Ma; 0.10–0.62). Compared with the latter, the eastern lineage showed pronounced geographic structuring, lower overall nucleotide diversity, higher population differentiation, and isolation-by-distance among populations.



Main conclusions  The data support the hypothesis of Pleistocene refugia occurring in East and southern Africa. In agreement with palynological, palaeovegetation and fossil studies, our data strongly support the presence of a longer-standing population in the south and a mosaic of Pleistocene refugia in the east, verifying the efficacy of genetic tools in addressing such questions. The more recent origin of the common eland inhabiting East Africa could result from colonization following extinction from the region. Only two other dated African ungulate phylogenies have been published, applying different methods, and the similarity of dates obtained from the three distinct approaches indicates a significant event c. 200 ka, which left a strong genetic signature across a range of ungulate taxa."
"A review of endemic species in the Eastern Arc Afromontane Region: Importance, inferences, and conservation","https://scispace.com/paper/a-review-of-endemic-species-in-the-eastern-arc-afromontane-3v5i512pmf","2008","","","Carl Skarbek","","https://digitalcommons.macalester.edu/cgi/viewcontent.cgi?article=1002&context=biogeography","… Eastern Arc houses such a large number of endemic species. It is not just that the endemic … maintained a high climatic stability throughout the Pleistocene, and served as a refuge …","The Eastern Arc mountain region has been identified as one of the top 25 biodiversity “hotspots” worldwide, and contains a large proportion of endemic species The endemic species are invaluable resources This review paper will explore and discuss the possible theories behind the high rate of endemism The importance of these endemics to local peoples and to the greater global community has been studied thoroughly, and these results are presented in further detail in this paper The Eastern Arc is also facing many problems that are threatening the biodiversity and rare endemic species of this region Human expansion into natural habitat, as well as deforestation and forest fragmentation are among the most pressing issues The causes and impacts of these issues will be explored and suggestions for the protection and conservation of endemic species and biodiversity will be discussed"
"Climate change refugia hotspots for priority species: A case study in East Africa","https://scispace.com/paper/climate-change-refugia-hotspots-for-priority-species-a-case-pmhijsi99e1r","2025","Journal Article","Conservation science and practice","C. N. Cavalieri
Devolent Mtui
Alex Lobora
Toni Lyn Morelli","10.1111/csp2.70178","https://conbio.onlinelibrary.wiley.com/doi/pdf/10.1111/csp2.70178","… exceptional biological diversity, with high levels of endemism at … refugia for key species, (2) locations of refugia hotspots supporting multiple species, and (3) the extent that refugia will …","Natural resource managers and policymakers need actionable climate data to guide conservation decisions. Conserving climate change refugia, areas relatively buffered from contemporary climate change, is increasingly considered an effective strategy for adaptation. Despite tropical species facing heightened vulnerability to climate change, the tropics remain underserved in climate adaptation research. We coproduced with Tanzanian partners the first comprehensive assessment of climate change refugia across Tanzania through extensive consultation, in‐person conversations, and field visits to priority ecosystems, ensuring our analysis addressed local conservation needs and decision‐making contexts. We developed species distribution models for 33 terrestrial animal species using maximum entropy and boosted regression tree algorithms. We projected future suitable habitats for SSP126 and SSP585, for 2011–2040 and 2071–2100, using GFDL Earth System and the UK Earth System models. More than half under SSP126 and 79% of focal species under SSP585 lost their suitable habitat by 2100. Serengeti National Park, Northern Highlands Forest Reserve, and the Eastern Arc Mountains emerged as key climate change refugia, while other protected areas, including Kigosi and Ugalla River National Parks, had no climate change refugia. This assessment provides actionable insights for Tanzania's conservation prioritization while identifying critical research gaps in western and montane ecosystems."
"Uncovering cryptic diversity and refugial persistence among small mammal lineages across the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/uncovering-cryptic-diversity-and-refugial-persistence-among-45p0n14597","2014","Journal Article","Molecular Phylogenetics and Evolution","Terrence C. Demos
Terrence C. Demos
Terrence C. Demos
Julian C. Kerbis Peterhans
Julian C. Kerbis Peterhans
Bernard Agwanda
Michael J. Hickerson
Michael J. Hickerson","10.1016/J.YMPEV.2013.10.014","https://www.researchgate.net/profile/Terrence-Demos-2/publication/258047841_Uncovering_cryptic_diversity_and_refugial_persistence_among_small_mammal_lineages_across_the_Eastern_Afromontane_biodiversity_hotspot/links/5e5a9e4392851cefa1d1d9e8/Uncovering-cryptic-diversity-and-refugial-persistence-among-small-mammal-lineages-across-the-Eastern-Afromontane-biodiversity-hotspot.pdf","… of older palaeo-endemic lineages across major regions in climatically stable refugia, as well … by unsuitable habitat during periods of Pleistocene aridification. Sympatric pairs of sister …",""
"Faunal importance of the Eastern Arc mountains of Kenya and Tanzania","https://scispace.com/paper/faunal-importance-of-the-eastern-arc-mountains-of-kenya-and-20ffvqp7j2","1998","Journal Article","Journal of East African Natural History","Neil Burgess
Jon Fjeldså
R. Botterweg","10.2982/0012-8317(1998)87[37:FIOTEA]2.0.CO;2","https://bioone.org/journals/journal-of-east-african-natural-history/volume-87/issue-1/0012-8317_1998_87_37_FIOTEA_2.0.CO_2/Faunal-Importance-of-the-Eastern-Arc-Mountains-of-Kenya-and/10.2982/0012-8317(1998)87[37:FIOTEA]2.0.CO;2.pdf","… This paper presents a review of endemism in the vertebrate fauna of the Eastern Arc, … narrowly endemic species we have also compiled the Eastern Arc/Coastal Forest endemics (…","Published and unpublished data are used to assess the faunal (animal) values of the Eastern Arc Mountains in terms of the numbers of endemic species, and number of species shared with the adjacent lowland Coastal Forests and with the Tanganyika-Nyasa Mountain Forest Group. Emphasis is placed on vertebrates, although some data for invertebrate groups are also provided. At least 74 vertebrate species are strictly endemic to the Eastern Arc Mountains, split as follows: birds 10 species, mammals 11 species, reptiles 23 species and amphibians 30 species. A further 40 species are near-endemics, but range slightly more widely than the strict definition of the Arc. Eastern Arc Mountain blocks that possess endemic vertebrates are the Taita Hills (two species), the East and West Usambaras (12 species), the Ngurus (one species), the Ulugurus (13 species) and eastern Udzungwas (13 species). A minimum estimate of 265 invertebrate species confined to single Eastern Arc Mountain blocks was obtained, although in..."
