"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Molecular phylogeny of the New World monkeys (Platyrrhini, primates) based on two unlinked nuclear genes: IRBP intron 1 and ϵ‐globin sequences","https://scispace.com/paper/lvQva4aW1kYJ","","","","H Schneider
I Sampaio
ML Harada","","","… for: (i) IRBP intron 1 sequences from 21 ceboids and human; (ii) the IRBP intron 1 and whole Eglobin gene sequences from 19 ceboids and human; (iii) the IRBP and E noncoding (in…",""
"Primate phylogeny, evolutionary rate variations, and divergence times: a contribution from the nuclear gene IRBP","https://scispace.com/paper/primate-phylogeny-evolutionary-rate-variations-and-2qey1olftn","2004","Journal Article","American Journal of Physical Anthropology","Céline Poux
Céline Poux
Emmanuel J. P. Douzery","10.1002/AJPA.10322","https://repository.ubn.ru.nl/bitstream/handle/2066/75266/75266.pdf?sequence=1#page=81","… , and IRBP EMBL-GenBank-DDBJ accession numbers for primate taxa used in this study … Moreover, our IRBP phylogeny does not match the traditional morphological view, which …","The first third (ca. 1200 bp) of exon 1 of the nuclear gene encoding the interstitial retinoid-binding protein (IRBP) has been sequenced for 12 representative primates belonging to Lemuriformes, Lorisiformes, Tarsiiformes, Platyrrhini, and Catarrhini, and combined with available data (13 other primates, 11 nonprimate placentals, and 2 marsupials). Phylogenetic analyses using maximum likelihood on nucleotides and amino acids robustly support the monophyly of primates, Strepsirrhini, Lemuriformes, Lorisiformes, Anthropoidea, Catarrhini, and Platyrrhini. It is interesting to note that 1) Tarsiidae grouped with Anthropoidea, and the support for this node depends on the molecular characters considered; 2) Cheirogaleidae grouped within Lemuriformes; and 3) Daubentonia was the sister group of all other Lemuriformes. Study of the IRBP evolutionary rate shows a high heterogeneity within placentals and also within primates. Maximum likelihood local molecular clocks were assigned to three clades displaying significantly contrasted evolutionary rates. Paenungulata were shown to evolve 2.5-3 times faster than Perissodactyla and Lemuriformes. Six independent calibration points were used to estimate splitting ages of the main primate clades, and their compatibility was evaluated. Divergence ages were obtained for the following crown groups: 13.8-14.2 MY for Lorisiformes, 26.5-27.2 MY for Lemuroidea, 39.6-40.7 MY for Lemuriformes, 45.4-46.7 MY for Strepsirrhini, and 56.7-58.4 MY for Haplorrhini. The incompatibility between some paleontological and molecular estimates may reflect the incompleteness of the placental fossil record, and/or indicate that the variable IRBP evolutionary rates are not fully accommodated by local molecular clocks."
"Phylogeny of African monkeys based upon mitochondrial 12S rRNA sequences","https://scispace.com/paper/phylogeny-of-african-monkeys-based-upon-mitochondrial-12s-4szkt5aymd","1995","Journal Article","Journal of Molecular Evolution","Antoinette C. van der Kuyl
Carla Kuiken
J. Dekker
Jaap Goudsmit","10.1007/BF00167111","https://www.academia.edu/download/75129611/bf0016711120211124-2115-1bjp1yu.pdf","… The suborder Anthropoidea of the primates has traditionally … 12S rRNA gene for 26 species of the major groups of African monkeys and apes and constructed an extensive phylogeny …","The suborder Anthropoidea of the primates has traditionally been divided in three superfamilies: the Hominoidea (apes and humans) and the Cercopithecoidea (Old World monkeys), together comprising the infraorder Catarrhini, and the Ceboidea (New World monkeys) belonging to the infraorder Platyrrhini. We have sequenced an approximately 390-base-pair part of the mitochondrial 12S rRNA gene for 26 species of the major groups of African monkeys and apes and constructed an extensive phylogeny based upon DNA evidence. Not only is this phylogeny of great importance in classification of African guenons, but it also suggests rearrangements in traditional monkey taxonomy and evolution. Baboons and mandrills were found to be not directly related, while we could confirm that the known four superspecies of mangabeys do not form a monophyletic group, but should be separated into two genera, one clustering with baboons and the other with mandrills. Patas monkeys are clearly related to members of the genus Cercopithecus despite their divergence in build and habitat, while the talapoin falls outside the Cercopithecus clade (including the patas monkey)."
"Molecular phylogeny of New World primates (Platyrrhini) based on β2-microglobulin DNA sequences","https://scispace.com/paper/molecular-phylogeny-of-new-world-primates-platyrrhini-based-3c0m45i77n","1999","Journal Article","Molecular Phylogenetics and Evolution","Flavio Canavez
Miguel A. M. Moreira
John J. Ladasky
Alcides Pissinatti
Peter Parham
Hector N. Seuanez","10.1006/MPEV.1998.0589","https://www.sciencedirect.com/science/article/pii/S1055790398905899/pdf?md5=80eb5ca741a2d19e1c3eee61ed451950&pid=1-s2.0-S1055790398905899-main.pdf","… 16 extant genera of neotropical primates, a reason … IRBP analysis grouped atelines with pitheciines but with a low bootstrap value, thus failing to resolve the conflicting -globin and IRBP …",""
"Molecular phylogeny of Old World monkeys (Cercopithecidae) as inferred from γ-globin DNA sequences","https://scispace.com/paper/molecular-phylogeny-of-old-world-monkeys-cercopithecidae-as-2ys4vvteb2","1999","Journal Article","Molecular Phylogenetics and Evolution","Scott L. Page
Chi-hua Chiu
Morris Goodman","10.1006/MPEV.1999.0653","","… a scattering of branch points in primate phylogeny. However, … for such groups as primates and other mammals, with orders … of branch points in phylogeny provides an objective yardstick …",""
"Conservation phylogenetics and computational species delimitation of Neotropical primates","https://scispace.com/paper/conservation-phylogenetics-and-computational-species-1s1rdafxz2","2018","Journal Article","Biological Conservation","Beatriz Mello
Júlio F. Vilela
Carlos G. Schrago","10.1016/J.BIOCON.2017.11.017","","… The results also highlighted the importance of phylogeny-based analyses for the discipline of conservation. Importantly, our conclusions were based on a Neotropical primates dataset, …",""
"Phylogenetic relationships of the New World monkeys (Primates, Platyrrhini) based on nuclear G6PD DNA sequences","https://scispace.com/paper/phylogenetic-relationships-of-the-new-world-monkeys-primates-u8xsqadjgh","1999","Journal Article","Molecular Phylogenetics and Evolution","M von Dornum
Maryellen Ruvolo","10.1006/MPEV.1998.0582","","… results of previous DNA sequence studies on platyrrhine phylogeny in a number of areas. Gene trees for G6PD, epsilon-globin, and IRBP clearly support a placement of Cebus, Saimiri, …",""
"Cytochrome b Phylogeny and the Taxonomy of Great Apes and Mammals","https://scispace.com/paper/cytochrome-b-phylogeny-and-the-taxonomy-of-great-apes-and-4nbg6be1db","2001","Journal Article","Molecular Biology and Evolution","Jose Castresana","10.1093/OXFORDJOURNALS.MOLBEV.A003825","https://academic.oup.com/mbe/article-pdf/18/4/465/23449208/mbev_18_04_0465.pdf","… number of complete or nearly complete mammalian cytochrome b sequences, I show that the … is no correlation between body size and rate of cytochrome b evolution in mammals, which …","In the Linnaean system of classification, the generic status of a species is part of its binomial name, and it is therefore important that the classification at the level of genus is consistent at least in related groups of organisms. Using maximum-likelihood phylogenetic trees constructed from a large number of complete or nearly complete mammalian cytochrome b sequences, I show that the distributions of intrageneric and intergeneric distances derived from these trees are clearly separated, which allows the limits for a more rational generic classification of mammals to be established. The analysis of genetic distances among hominids in this context provides strong support for the inclusion of humans and chimpanzees in the same genus. It is also of interest to decipher the main reasons for the possible biases in the mammalian classification. I found by correlation analysis that the classification of mammals of large body size tends to be oversplit, whereas that of small mammals has an excess of lumping, which may be a manifestation of the larger difficulty in finding diagnostic characters in the classification of small animals. In addition, and contrary to some previous observations, there is no correlation between body size and rate of cytochrome b evolution in mammals, which excludes the difference in evolutionary rates as the cause of the observed body size taxonomic bias."
"Evidence on mammalian phylogeny from sequences of exon 28 of the von Willebrand factor gene","https://scispace.com/paper/evidence-on-mammalian-phylogeny-from-sequences-of-exon-28-of-5boohnf19l","1996","Journal Article","Molecular Phylogenetics and Evolution","Calvin A. Porter
Morris Goodman
Michael J. Stanhope","10.1006/MPEV.1996.0008","","… Instead, elephant shrew spermatozoa showed some similarities with primates, hyraxes with the elephants and sirenians, as indicated by our vWF data. The paenungulate clade is …",""
"Estimating the phylogeny and divergence times of primates using a supermatrix approach","https://scispace.com/paper/estimating-the-phylogeny-and-divergence-times-of-primates-a2wvr9d9hg","2009","Journal Article","BMC Evolutionary Biology","Helen J. Chatterjee
Simon Y. W. Ho
Simon Y. W. Ho
Ian Barnes
Colin P. Groves","10.1186/1471-2148-9-259","https://link.springer.com/content/pdf/10.1186/1471-2148-9-259.pdf","… estimate of the structure and tempo of primate evolutionary history. Although considerable gaps remain in our knowledge of the primate phylogeny, increased data sampling, particularly …","The primates are among the most broadly studied mammalian orders, with the published literature containing extensive analyses of their behavior, physiology, genetics and ecology. The importance of this group in medical and biological research is well appreciated, and explains the numerous molecular phylogenies that have been proposed for most primate families and genera. Composite estimates for the entire order have been infrequently attempted, with the last phylogenetic reconstruction spanning the full range of primate evolutionary relationships having been conducted over a decade ago. To estimate the structure and tempo of primate evolutionary history, we employed Bayesian phylogenetic methods to analyze data supermatrices comprising 7 mitochondrial genes (6,138 nucleotides) from 219 species across 67 genera and 3 nuclear genes (2,157 nucleotides) from 26 genera. Many taxa were only partially represented, with an average of 3.95 and 5.43 mitochondrial genes per species and per genus, respectively, and 2.23 nuclear genes per genus. Our analyses of mitochondrial DNA place Tarsiiformes as the sister group of Strepsirrhini. Within Haplorrhini, we find support for the primary divergence of Pitheciidae in Platyrrhini, and our results suggest a sister grouping of African and non-African colobines within Colobinae and of Cercopithecini and Papionini within Cercopthecinae. Date estimates for nodes within each family and genus are presented, with estimates for key splits including: Strepsirrhini-Haplorrhini 64 million years ago (MYA), Lemuriformes-Lorisiformes 52 MYA, Platyrrhini-Catarrhini 43 MYA and Cercopithecoidea-Hominoidea 29 MYA. We present an up-to-date, comprehensive estimate of the structure and tempo of primate evolutionary history. Although considerable gaps remain in our knowledge of the primate phylogeny, increased data sampling, particularly from nuclear loci, will be able to provide further resolution."
