"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Multiple bursts of speciation in Madagascar's endangered lemurs","https://scispace.com/paper/multiple-bursts-of-speciation-in-madagascars-endangered-z0ca8b5v3gk0","2025","Journal Article","Nature Communications","Kathryn Everson
Luca Pozzi
Meredith Barrett
Mary E. Blair
Mariah E. Donohue
Peter M. Kappeler
Andrew C. Kitchener
Alan R. Lemmon
Emily Moriarty Lemmon
Carlos J. Pavón‐Vázquez
Ute Radespiel
Blanchard Randrianambinina
Rodin M. Rasoloarison
Solofonirina Rasoloharijaona
Christian Roos
Jordi Salmona
Anne D. Yoder
Rosana Zenil‐Ferguson
Dietmar Zinner
David W. Weisrock","10.1038/s41467-025-62310-y","https://www.nature.com/articles/s41467-025-62310-y.pdf","… Galagidae (specifically the genera Galago and Paragalago), … : if we continue to use species-tree models that only account for … been featured in multiple species delimitation studies …","Lemurs are often cited as an example of adaptive radiation, as more than 100 extant species have evolved and filled ecological niches on Madagascar. However, recent work suggests that lemurs lack a hallmark of other adaptive radiations: explosive speciation rates that decline over time. Thus, characterizing the tempo and mode of evolution in lemurs can reveal alternative ways that hyperdiverse clades arise over time, which might differ from traditional models. We explore lemur evolution using a phylogenomic dataset with broad taxonomic sampling that includes the lorisiforms of Asia and continental Africa. Our analyses reveal multiple bursts of diversification (without subsequent declines) that explain much of today's lemur diversity. We also find higher rates of speciation in Madagascar's lemurs compared to lorisiforms, and we demonstrate that the lemur clades with high diversification rates also have high rates of genomic introgression. This suggests that hybridization in these primates is not an evolutionary dead-end, but potential fuel for diversification. Considering the conservation crisis affecting strepsirrhine primates, with approximately 95% of species threatened with extinction, this study offers a perspective for explaining Madagascar's primate diversity and reveals patterns of speciation, extinction, and gene flow that will help inform future conservation decisions. "
"Rocks and clocks revised: New promises and challenges in dating the primate tree of life","https://scispace.com/paper/rocks-and-clocks-revised-new-promises-and-challenges-in-28bm5bmb","2022","Journal Article","Evolutionary Anthropology","Luca Pozzi
Anna-Marie Penna","10.1002/evan.21940","https://onlinelibrary.wiley.com/doi/am-pdf/10.1002/evan.21940","… in phylogenetic reconstructions, the age, and phylogenetic … of both Lorisidae and Galagidae than regular node calibration … be used in multispecies coalescent approaches to jointly …","In recent years, multiple technological and methodological advances have increased our ability to estimate phylogenies, leading to more accurate dating of the primate tree of life. Here we provide an overview of the limitations and potentials of some of these advancements and discuss how dated phylogenies provide the crucial temporal scale required to understand primate evolution. First, we review new methods, such as the total‐evidence dating approach, that promise a better integration between the fossil record and molecular data. We then explore how the ever‐increasing availability of genomic‐level data for more primate species can impact our ability to accurately estimate timetrees. Finally, we discuss more recent applications of mutation rates to date divergence times. We highlight example studies that have applied these approaches to estimate divergence dates within primates. Our goal is to provide a critical overview of these new developments and explore the promises and challenges of their application in evolutionary anthropology."
"A genomic timescale for placental mammal evolution","https://scispace.com/paper/a-genomic-timescale-for-placental-mammal-evolution-2fl8zapw","2022","Journal Article","Science","Nicole M. Foley
Victor C. Mason
Andrew J. Harris
Kevin R. Bredemeyer
Joana Damas
Harris A. Lewin
Eduardo Eizirik
John Gatesy
Mark S. Springer
William J. Murphy","10.1126/science.abl8189","https://www.science.org/doi/pdf/10.1126/science.abl8189","… We compared neutral genome-wide phylogenomic signals using concatenation and coalescent-based approaches, interrogated phylogenetic variation across chromosomes, and …","The precise pattern and timing of speciation events that gave rise to all living placental mammals remain controversial. We provide a comprehensive phylogenetic analysis of genetic variation across an alignment of 241 placental mammal genome assemblies, addressing prior concerns regarding limited genomic sampling across species. We compared neutral genome-wide phylogenomic signal using concatenation and coalescent-based approaches, interrogated phylogenetic variation across chromosomes and analyzed extensive catalogs of structural variants. Interordinal relationships exhibit relatively low rates of phylogenomic conflict across diverse datasets and analytical methods. Conversely, X-chromosome versus autosome conflicts characterize multiple independent clades that radiated during the Cenozoic. Genomic timetrees reveal an accumulation of cladogenic events before and immediately following the KPg boundary implying important roles for Cretaceous continental vicariance and the KPg extinction in the placental radiation. One-Sentence Summary A comprehensive whole genome phylogeny of extant placental mammals reveals timing and patterns of ordinal diversification."
"Phylogenomics reveals the origin of mammal lice out of Afrotheria","https://scispace.com/paper/phylogenomics-reveals-the-origin-of-mammal-lice-out-of-9w7qpi7f","2022","Journal Article","Nature Ecology and Evolution","Kevin P. Johnson
Conrad A. Matthee
Jorge Doña","10.1038/s41559-022-01803-1","https://digibug.ugr.es/bitstream/handle/10481/100956/s41559-022-01803-1.pdf?sequence=1&isAllowed=y","… within primates (galagos and Madagascan lemurs, coalescent louse tree). … coalescent) estimated for this group against a phylogeny for their mammal hosts. For the mammal phylogeny…",""
"Evolution of forest Bitis (Macrocerastes) in Africa: Phylogeography, population genetics, and potential as a model for Batesian mimicry","https://scispace.com/paper/jigw3CpspqwJ","","","","ER Vaughan","","https://scholarworks.utep.edu/cgi/viewcontent.cgi?article=5029&context=open_etd","… Multispecies coalescent time-calibrated Bayesian phylogeny of sampled Macrocerastes species and populations, as well as selected outgroups, generated in BEAST using all 5 …",""
"A global catalog of whole-genome diversity from 233 primate species","https://scispace.com/paper/a-global-catalog-of-whole-genome-diversity-from-233-primate-22e7gn65","2023","Journal Article","Science","Lukas F. K. Kuderna
Hong Qing Gao
Mareike C. Janiak
Martin Kuhlwilm
Joseph D. Orkin
Thomas Bataillon
Shivakumara Manu
Alejandro Valenzuela
Juraj Bergman
Marjolaine Rousselle
Felipe Ennes Silva
Lidia Agueda
Julie Blanc
Marta Gut
Dorien de Vries
Ian Goodhead
R. Alan Harris
Muthuswamy Raveendran
Idrissa S. Chuma
Julie E. Horvath
Christina Hvilsom
David Juan
Peter Frandsen
Joshua G. Schraiber
Fabiano Rodrigues de Melo
Fabrício Bertuol
Hazel Byrne
Iracilda Sampaio
Izeni Pires Farias
João Valsecchi
Maria Nazareth Ferreira da Silva
Mihir Trivedi
Rogério Vieira Rossi
Tomáš Herben
Nicole V. Andriaholinirina
C. Rabarivola
Alphonse Zaramody
Clifford J. Jolly
Jane E. Phillips-Conroy
Gregory K. Wilkerson
Christian R. Abee
J. L. Simmons
Eduardo Fernandez-Duque
Sreetharan Kanthaswamy
Fekadu Shiferaw
Dongdong Wu
Long Zhou
Yong Shao
Guojie Zhang
Julius Keyyu
Sascha Knauf
Minh Duc Le
Esther Lizano
Stefan Merker
Arcadi Navarro
Tilo Nadler
Chiea Chuen Khor
Jessica G. H. Lee
Patrick Yih Kwok. Tan
Weng Khong Lim
Andrew C. Kitchener
Dietmar Zinner
Ivo Gut
Amanda D. Melin
Katerina Guschanski
Mikkel H. Schierup
Robin M. D. Beck
Govindaswamy Umapathy
Christian Roos
Jean P. Boubli
Jeffrey Rogers
Kyle Kai-How Farh
Tomas Marques Bonet","10.1126/science.abn7829","https://www.science.org/doi/pdf/10.1126/science.abn7829","… azarae) and the northern greater galago (Otolemur garnettii), … a coalescent analysis to obtain the topology of the species tree… We find multiple species belonging to different families of …","The rich diversity of morphology and behavior displayed across primate species provides an informative context in which to study the impact of genomic diversity on fundamental biological processes. Analysis of that diversity provides insight into long-standing questions in evolutionary and conservation biology, and is urgent given severe threats these species are facing. Here, we present high coverage whole-genome data from 233 primate species representing 86% of genera and all 16 families. This dataset was used, together with fossil calibration, to create a nuclear DNA phylogeny and to reassess evolutionary divergence times among primate clades. We found within-species genetic diversity across families and geographic regions to be associated with climate and sociality, but not with extinction risk. Furthermore, mutation rates differ across species, potentially influenced by effective population sizes. Lastly, we identified extensive recurrence of missense mutations previously thought to be human-specific. This study will open a wide range of research avenues for future primate genomic research. One-Sentence Summary The whole genome sequences of 233 primate species provide insight into the determinants of genetic diversity, phylogenomics, and human uniqueness."
"Population history and taxonomy of African hares (genus Lepus) inferred from genetic variation","https://scispace.com/paper/population-history-and-taxonomy-of-african-hares-genus-lepus-q36j1ly8p8","2016","Journal Article","Mammalian Biology","Sara Lado
Paulo C. Alves
José Carlos Brito
José Melo-Ferreira","10.1016/J.MAMBIO.2016.07.035","https://repositorio-aberto.up.pt/bitstream/10216/86897/2/37855.pdf","… phylogenetic analyses. Five major geographically explicit groups were identified: Near East, Arabia, Kenya, South Africa and Norwest Africa. … tree and uses the multispecies coalescent. (…",""
"A guide to galago diversity: getting a grip on how best to chew gum","https://scispace.com/paper/a-guide-to-galago-diversity-getting-a-grip-on-how-best-to-2y0zceof98","2010","Book Chapter","","Isobel R. Stephenson
Simon K. Bearder
Guiseppe Donati
Johann Karlsson","10.1007/978-1-4419-6661-2_12","https://www.researchgate.net/profile/Giuseppe-Donati/publication/227143069_A_Guide_to_Galago_Diversity_Getting_a_Grip_on_How_Best_to_Chew_Gum/links/0a85e53247091a87a5000000/A-Guide-to-Galago-Diversity-Getting-a-Grip-on-How-Best-to-Chew-Gum.pdf","… phylogeny, so understanding local niche differentiation is vital for studying species-specific adaptations. Unfortunately, the galagos of mainland Africa (family Galagidae) … coalescence …","Disputes over galago taxonomy have meant that studies often use ­different names for identical populations, making comparative analysis difficult for the untrained researcher. A main objective of this study was to assess whether hand and foot pad morphology, nail shape and toothscraper structure reveal adaptations to exudate eating and show differences which reflect taxonomy in order to identify species. A total of 714 museum specimens were examined between May and July 2007, revealing six pads on each hand and foot which vary in shape and orientation across taxa. Three nail shapes and two variations in toothscraper position were identified. The results indicate that variance in pad size reflects species boundaries and shows adaptations to allow access to large-diameter substrates. No consistent dental variation was identified when comparing species with high and low proportions of exudates in their diet, although the highly gummivorous Euoticus elegantulus possessed a relatively longer, more procumbent toothscraper than other species."
"Integrative taxonomy resolves a new West African Crocidura (Mammalia: Soricidae) species, cryptic to Crocidura grandiceps in color, but distinct in size","https://scispace.com/paper/Y_2SgO-AmDUJ","","","","I Voet
A Delapre
C Denys
A Lalis","","https://hal.science/hal-05515101v1/file/3197-Article%20Text-14013-1-10-20260217.pdf","… Following the publication of the phylogeny of the C. poensis … BPP nuclear species tree. Posterior probabilities for species … eared greater galago, Otolemur garnettii (Primates: Galagidae). …",""
"Primate taxonomy and conservation","https://scispace.com/paper/primate-taxonomy-and-conservation-kadebrqjyt","2016","Book Chapter","","Dietmar Zinner
Christian Roos","10.1007/978-3-319-30469-4_11","","… organisms has to be based on their phylogenetic relationship and not just on “similarities”. … , Galago, and the dwarf galagos from forests of the Indian Ocean catchment area in Africa (…","Taxonomy usually refers to the theory and practice of describing, naming, and classifying living things. It is therefore fundamental for our understanding of the diversity of life and its conservation. The basic unit of taxonomy is the “species” and many conservation issues are concerned with their protection. However, although most biologists agree that the species represents a fundamental category of biological organization, finding an all-encompassing species definition is difficult and thus, the delimitation of units as species often remains controversial. Species can be regarded as taxonomic hypotheses and depending on the applied species-concept and available data, units or taxa are split or lumped together. The number of recognized primate species for instance increased from 180 in 1967 to 480 in 2013. This dynamic might affect biodiversity assessment and conservation strategies, e.g., when setting conservation priorities or when implementing conservation management or captive breeding plans. In our contribution we will briefly sum up the history of taxonomic research with a focus on primates, touch on the problems of species concepts and species delimitation, and delve into the impacts on species conservation."
