"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Visualizing multispecies coalescent trees drawing gene trees inside species trees arXiv","https://scispace.com/paper/Q9EHBZ5E","2022","Document","","Visualization 2022","10.48550/arxiv.2210.06744","",""
"Gene tree discordance, phylogenetic inference and the multispecies coalescent","https://scispace.com/paper/gene-tree-discordance-phylogenetic-inference-and-the-4am74nkfjw","06/2009","Journal Article","Trends in Ecology and Evolution","James H. Degnan
Noah A. Rosenberg","10.1016/j.tree.2009.01.009","https://www.zotero.org/johankarlssonk9/items/P9GMKSZP/attachment/JQMXGQVZ/reader","The field of phylogenetics is entering a new era in which trees of historical relationships between species are increasingly inferred from multilocus and genomic data. A major challenge for incorporating such large amounts of data into inference of species trees is that conflicting genealogical histories often exist in different genes throughout the genome. Recent advances in genealogical modeling suggest that resolving close species relationships is not quite as simple as applying more data to the problem. Here we discuss the complexities of genealogical discordance and review the issues that new methods for multilocus species tree inference will need to address to account successfully for naturally occurring genomic variability in evolutionary histories."
"Short branch attraction in phylogenomic inference under the multispecies coalescent Frontiers in Ecology and Evolution","https://scispace.com/paper/BKJ2PTS6","2023","Document","","Liu et al. 2023","10.3389/fevo.2023.1134764","",""
"A stochastic Farris transform for genetic data under the multispecies coalescent with applications to data requirements","https://scispace.com/paper/a-stochastic-farris-transform-for-genetic-data-under-the-1bxxlpb8","04/2022","Journal Article","Journal of Mathematical Biology","Gautam Dasarathy
Elchanan Mossel
Robert Nowak
Sebastien Roch","10.1007/s00285-022-01731-5","https://www.zotero.org/johankarlssonk9/items/9FWQEZ3Y/attachment/9XSBQN9T/reader","Species tree estimation faces many significant hurdles. Chief among them is that the trees describing the ancestral lineages of each individual gene-the gene trees-often differ from the species tree. The multispecies coalescent is commonly used to model this gene tree discordance, at least when it is believed to arise from incomplete lineage sorting, a population-genetic effect. Another significant challenge in this area is that molecular sequences associated to each gene typically provide limited information about the gene trees themselves. While the modeling of sequence evolution by single-site substitutions is well-studied, few species tree reconstruction methods with theoretical guarantees actually address this latter issue. Instead, a standard-but unsatisfactory-assumption is that gene trees are perfectly reconstructed before being fed into a so-called summary method. Hence much remains to be done in the development of inference methodologies that rigorously account for gene tree estimation error-or completely avoid gene tree estimation in the first place. In previous work, a data requirement trade-off was derived between the number of loci m needed for an accurate reconstruction and the length of the locus sequences k. It was shown that to reconstruct an internal branch of length f, one needs m to be of the order of [Formula: see text]. That previous result was obtained under the restrictive assumption that mutation rates as well as population sizes are constant across the species phylogeny. Here we further generalize this result beyond this assumption. Our main contribution is a novel reduction to the molecular clock case under the multispecies coalescent, which we refer to as a stochastic Farris transform. As a corollary, we also obtain a new identifiability result of independent interest: for any species tree with [Formula: see text] species, the rooted topology of the species tree can be identified from the distribution of its unrooted weighted gene trees even in the absence of a molecular clock. "
"Short branch attraction in phylogenomic inference under the multispecies coalescent","https://scispace.com/paper/short-branch-attraction-in-phylogenomic-inference-under-the-3h24y303","2023","Journal Article","Frontiers in Ecology and Evolution","Liang Liu
Lili Yu
Shaoyuan Wu
Jonathan Arnold
Christopher Whalen
Charles Davis
Scott Edwards","10.3389/fevo.2023.1134764","https://www.zotero.org/johankarlssonk9/items/BCZUWZ8P/attachment/RS3CUF6P/reader","Accurate reconstruction of species trees often relies on the quality of input gene trees estimated from molecular sequences. Previous studies suggested that if the sequence length is fixed, the maximum likelihood may produce biased gene trees which subsequently mislead inference of species trees. Two key questions need to be answered in this context: what are the scenarios that may result in consistently biased gene trees? and for those scenarios, are there any remedies that may remove or at least reduce the misleading effects of consistently biased gene trees? In this article, we establish a theoretical framework to address these questions. Considering a scenario where the true gene tree is a 4-taxon star tree T ∗ = ( S 1 , S 2 , S 3 , S 4 ) with two short branches leading to the species S1 and S2, we demonstrate that maximum likelihood significantly favors the wrong bifurcating tree [(S1, S2), S3, S4] grouping the two species S1 and S2 with short branches. We name this inconsistent behavior short branch attraction, which may occur in real-world data involving a 4-taxon bifurcating gene tree with a short internal branch. If no mutation occurs along the internal branch, which is likely if the internal branch is short, the 4-taxon bifurcating tree is equivalent to the 4-taxon star tree and thus will suffer the same misleading effect of short branch attraction. Theoretical and simulation results further demonstrate that short branch attraction may occur in gene trees and species trees of arbitrary size. Moreover, short branch attraction is primarily caused by a lack of phylogenetic information in sequence data, suggesting that converting short internal branches to polytomies in the estimated gene trees can significantly reduce artifacts induced by short branch attraction."
"Visualizing Multispecies Coalescent Trees: Drawing Gene Trees Inside Species Trees","https://scispace.com/paper/visualizing-multispecies-coalescent-trees-drawing-gene-trees-1ykhqmqw","2023","Book Section","","Leszek Gąsieniec
Jonathan Klawitter
Felix Klesen
Moritz Niederer
Alexander Wolff","10.1007/978-3-031-23101-8_7","https://scispace.com/pdf/visualizing-multispecies-coalescent-trees-drawing-gene-trees-1ykhqmqw.pdf","We consider the problem of drawing multiple gene trees inside a single species tree in order to visualize multispecies coalescent trees. Specifically, the drawing of the species tree fills a rectangle in which each of its edges is represented by a smaller rectangle, and the gene trees are drawn as rectangular cladograms (that is, orthogonally and downward, with one bend per edge) inside the drawing of the species tree. As an alternative, we also consider a style where the widths of the edges of the species tree are proportional to given effective population sizes. In order to obtain readable visualizations, our aim is to minimize the number of crossings between edges of the gene trees in such drawings. We show that planar instances can be recognized in linear time and that the general problem is NP-hard. Therefore, we introduce two heuristics and give an integer linear programming (ILP) formulation that provides us with exact solutions in exponential time. We use the ILP to measure the quality of the heuristics on real-world instances. The heuristics yield surprisingly good solutions, and the ILP runs surprisingly fast. "
"ECOLOGICAL SPECIES, MULTISPECIES, AND OAKS","https://scispace.com/paper/A8Y23N53","05/1976","Journal Article","TAXON","Leigh Van Valen","10.2307/1219444","https://www.zotero.org/johankarlssonk9/items/A8Y23N53/attachment/LM223YDP/reader","Summary
            Oaks exemplify problems with the reproductive species concept which motivate a reconsideration of the use and nature of species. Ecology is important in the reconsideration. The species level is usually overemphasized in evolutionary thought; selection acts on phenotypes and any mutualistic units. Standard definitions tend to inhibit free conceptual progress. Multispecies, sets of broadly sympatric species that exchange genes, may occur among animals as well as plants and may conceivably bridge kingdoms. This phenomenon can be adaptively important. There may be taxa without species. The degree of modality of adaptive zones can be investigated empirically."
"Hierarchical Bayesian Spatial Models for Multispecies Conservation Planning and Monitoring","https://scispace.com/paper/WTECVNGG","12/2010","Journal Article","Conservation Biology","Carlos Carroll
Devin S. Johnson
Jeffrey R. Dunk
William J. Zielinski","10.1111/j.1523-1739.2010.01528.x","https://www.zotero.org/johankarlssonk9/items/WTECVNGG/attachment/RHA9LCV4/reader","Biologists who develop and apply habitat models are often familiar with the statistical challenges posed by their data’s spatial structure but are unsure of whether the use of complex spatial models will increase the utility of model results in planning. We compared the relative performance of nonspatial and hierarchical Bayesian spatial models for three vertebrate and invertebrate taxa of conservation concern (Church’s sideband snails [ Monadenia churchi], red tree voles [ Arborimus longicaudus], and Pacific fishers [ Martes pennanti pacifica]) that provide examples of a range of distributional extents and dispersal abilities. We used presence–absence data derived from regional monitoring programs to develop models with both landscape and site-level environmental covariates. We used Markov chain Monte Carlo algorithms and a conditional autoregressive or intrinsic conditional autoregressive model framework to fit spatial models. The fit of Bayesian spatial models was between 35 and 55% better than the fit of nonspatial analogue models. Bayesian spatial models outperformed analogous models developed with maximum entropy (Maxent) methods. Although the best spatial and nonspatial models included similar environmental variables, spatial models provided estimates of residual spatial effects that suggested how ecological processes might structure distribution patterns. Spatial models built from presence–absence data improved fit most for localized endemic species with ranges constrained by poorly known biogeographic factors and for widely distributed species suspected to be strongly affected by unmeasured environmental variables or population processes. By treating spatial effects as a variable of interest rather than a nuisance, hierarchical Bayesian spatial models, especially when they are based on a common broad-scale spatial lattice (here the national Forest Inventory and Analysis grid of 24 km2 hexagons), can increase the relevance of habitat models to multispecies conservation planning."
"Multispecies conservation planning: identifying landscapes for the conservation of viable populations using local and continental species priorities","https://scispace.com/paper/3NSE28WT","04/2007","Journal Article","Journal of Applied Ecology","Regan Early
Chris D. Thomas","10.1111/j.1365-2664.2006.01268.x","https://www.zotero.org/johankarlssonk9/items/3NSE28WT/attachment/B3BYZX99/reader","Summary
            
              
                
                  Faced with unpredictable environmental change, conservation managers face the dual challenges of protecting species throughout their ranges and protecting areas where populations are most likely to persist in the long term. The former can be achieved by protecting locally rare species, to the potential detriment of protecting species where they are least endangered and most likely to survive in the long term.
                
                
                  Using British butterflies as a model system, we compared the efficacy of two methods of identifying persistent areas of species’ distributions: a single‐species approach and a new multispecies prioritization tool called ZONATION. This tool identifies priority areas using population dynamic principles (prioritizing areas that contain concentrations of populations of each species) and the reserve selection principle of complementarity.
                
                
                  ZONATION was generally able to identify the best landscapes for target (i.e. conservation priority) species. This ability was improved by assigning higher numerical weights to target species and implementing a clustering procedure to identify coherent biological management units.
                
                
                  Weighting British species according to their European rather than UK status substantially increased the protection offered to species at risk throughout Europe. The representation of species that are rare or at risk in the UK, but not in Europe, was not greatly reduced when European weights were used, although some species of UK‐only concern were no longer assigned protection inside their best landscapes. The analysis highlights potential consequences of implementing parochial vs. wider‐world priorities within a region.
                
                
                  
                    Synthesis and applications
                    . Wherever possible, reserve planning should incorporate an understanding of population processes to identify areas that are likely to support persistent populations. While the multispecies prioritization tool ZONATION compared favourably to the selection of ‘best’ areas for individual species, a user‐defined input of species weights was required to produce satisfactory solutions for long‐term conservation. Weighting species can allow international conservation priorities to be incorporated into regional action plans but the potential consequences of any putative solution should always be assessed to ensure that no individual species of local concern will be threatened."
