"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Expected pairwise congruence among gene trees under the coalescent model.","https://scispace.com/paper/expected-pairwise-congruence-among-gene-trees-under-the-30c1qorch1","2017","Journal Article","Molecular Phylogenetics and Evolution","Yuan Tian
Laura Kubatko","10.1016/J.YMPEV.2016.09.023","","","natural selection or potential estimation error in gene tree inference . These causes can be difficult to distinguish from the ILS based on the estimated gene trees . Our study suggests one way in which this could be assessed, at least for small problems, as follows. Discussion:
 First, pairwise RF distances among gene trees in empirical studies can be measured by the method described in . Then, by contrasting the observed pair-wise RF distances among gene trees with those expected for certain parameter choices, it may be possible to assess whether ILS is the dominant cause of the gene tree incongruence. To aid in this, we provide a set of scripts that can be used with COAL  and R to compute gene tree probabilities and RF distance distributions (https://github.com/tian52/2016Match/tree/master/Scripts). We also provide files that will compute the probability of sampling two matching gene trees from asymmetric species trees with three to six taxa for a set of user-specified branch lengths. Discussion:
 If the observed and expected pairwise RF distances among gene trees are similar, ILS is very likely to be the cause of conflict among observed gene trees. However, if the gene trees are more congruent than the expected, it is possible that the genes cannot be assumed to freely recombine, or that the genes are experiencing selection or convergent evolution . On the other hand, when the gene trees are less congruent than the expected, rate variation among genes could be important in the phylogenetic inference. Gene flow/hybridization and potential estimation error may affect the gene tree incongruence in either direction, depending on the specific case. Overall, we suggest that researchers should use the expected gene tree incongruence to assess whether ILS is a reasonable explanation for the extent of observed gene tree incongruence before explaining the gene tree incongruence by other causes. Discussion:
 Given the expectation of high levels of gene tree incongruence for even small taxon samples, the question becomes how to adequately deal with such incongruence in procedures for which estimated gene trees provide a necessary framework for inference, such as the phylogenetic comparative method. Clearly, correctly dealing with the possibility of gene tree incongruence is an extremely difficult task, and more research in this area is necessary, as stated in . A potential solution in the comparative method framework is to incorporate phylogenetic uncertainty in the underlying trees for all traits under consideration by integrating over all possible gene trees under a particular evolutionary model. However, this approach would incur a substantial computational cost, and it is likely that more efficient approaches would need to be developed for problems that are large in either the number of traits or the number of taxa (or both). Discussion:
 Despite the complications that arise when dealing with the possibility of gene tree incongruence due to ILS, some of which are highlighted here, we argue that overall gene tree incongruence should be considered as additional phylogenetic information, rather than as ""error"" or ""insufficient data"". When gene tree incongruence arises from ILS alone, it is actually an ""intrinsic part of phylogeny's nature"", as stated by ."
"STELAR: A statistically consistent coalescent-based species tree estimation method by maximizing triplet consistency","https://scispace.com/paper/stelar-a-statistically-consistent-coalescent-based-species-2df5yzdztq","2019","Posted Content","bioRxiv","Mazharul Islam
Kowshika Sarker
Trisha Das
Rezwana Reaz
Md. Shamsuzzoha Bayzid","10.1101/594911","https://scispace.com/pdf/stelar-a-statistically-consistent-coalescent-based-species-2df5yzdztq.pdf","Background Species tree estimation is frequently based on phylogenomic approaches that use multiple genes from throughout the genome. However, estimating a species tree from a collection of gene trees can be complicated due to the presence of gene tree incongruence resulting from incomplete lineage sorting (ILS), which is modelled by the multi-species coalescent process. Maximum likelihood and Bayesian MCMC methods can potentially result in accurate trees, but they do not scale well to large datasets. Results We present STELAR (Species Tree Estimation by maximizing tripLet AgReement), a new fast and highly accurate statistically consistent coalescent-based method for estimating species trees from a collection of gene trees. We formalized the constrained triplet consensus (CTC) problem and showed that the solution to the CTC problem is a statistically consistent estimate of the species tree under the multi-species coalescent (MSC) model. STELAR is an efficient dynamic programming based solution to the CTC problem which is highly accurate and scalable. We evaluated the accuracy of STELAR in comparison with SuperTriplets, which is an alternate fast and highly accurate triplet-based supertree method, and with MP-EST and ASTRAL – two of the most popular and accurate coalescent-based methods. Experimental results suggest that STELAR matches the accuracy of ASTRAL and improves on MP-EST and SuperTriplets. Conclusions Theoretical and empirical results (on both simulated and real biological datasets) suggest that STELAR is a valuable technique for species tree estimation from gene tree distributions.","Title: STELAR: a statistically consistent coalescent-based species tree estimation method by maximizing triplet consistency Authors: Mazharul Islam,Kowshika Sarker,Trisha Das,Md Shamsuzzoha Bayzid Keywords: Phylogenomics, Multi-species coalescent process, Gene tree incongruence, Incomplete lineage sorting"
"A polynomial time algorithm for calculating the probability of a ranked gene tree given a species tree","https://scispace.com/paper/a-polynomial-time-algorithm-for-calculating-the-probability-36hm3w8i4b","2012","Journal Article","Algorithms for Molecular Biology","Tanja Stadler
James H. Degnan
James H. Degnan","10.1186/1748-7188-7-7","https://scispace.com/pdf/a-polynomial-time-algorithm-for-calculating-the-probability-36hm3w8i4b.pdf","Background
The ancestries of genes form gene trees which do not necessarily have the same topology as the species tree due to incomplete lineage sorting. Available algorithms determining the probability of a gene tree given a species tree require exponential computational runtime.","with the species tree topology, thus we cannot use a simple majority-heuristic to infer the species tree from a collection of gene trees. Instead we need statistical tools rather than majority rule heuristics for inferring the species tree based on gene trees. Background:
 Current methods for inferring species trees from gene trees in this setting can be divided into topologybased and genealogy-based methods, in which the input for a reconstruction algorithm accepts either gene tree (b) The (ranked or unranked) gene tree does not match the species tree, and there is an incomplete lineage sorting event (a deep coalescence) because the lineages from species A and B fail to coalesce more recently than s 2 .(c) The gene tree and species tree have the same unranked topology but have different ranked topologies, as D and E coalesce in the gene tree more recently than A and B, while A and B is the most recent divergence in the species tree. The gene tree in (c) has ranked topology (((A, B) 3 , C) 2 , (D, E) 4 ) 1 . In (c), there are no incomplete lineage sorting events (no deep coalescences); however, there is an extra lineage at time s 3 which leads to the gene tree and species tree having different rankings. In (c), all coalescences occur in the most recent possible interval consistent with the ranked gene tree, and we have ℓ 1 = 2, ℓ 2 = 3, ℓ 3 = 5, ℓ 4 = 5, and g 1 = 2, g 2 = 3, g 3 = 5, g 4 = 5. (d) A gene tree with the same ranked topology as the gene tree in (c) but with coalescences occurring in different intervals. Background:
 topologies or genealogies, i.e., gene trees with branch lengths (coalescence times). Topology-based methods include Minimize Deep Coalescence (MDC) , STAR , STELLS , rooted triple consensus  and other consensus and supertree methods . Genealogy-based methods include Bayesian and likelihood methods such as BEST, *BEAST, and STEM  and clustering and distance-based methods . Possible pros and cons of the two approaches are that topology-based methods can be computationally faster and less sensitive to errors in estimating gene trees (and gene tree branch lengths) from sequence data , while methods that use coalescence times, particularly using Bayesian modelling, can be the most accurate when model assumptions are correct . Background:
 Another possibility that has been so far unexplored in methods for inferring species trees from gene trees is to use ranked gene trees, in which the temporal order of the nodes of the gene tree (the coalescence times) is used, but not the continuous-valued branch lengths. This approach might therefore be intermediate between purely topology-based methods and genealogy-based methods. By preserving more of the temporal information in the gene tree nodes, the hope is to develop methods that are more powerful than purely topology-based methods and that are still computationally efficient and robust to errors in estimating gene trees and gene tree branch lengths from sequence data."
"Distribution of coalescent histories under the coalescent model with gene flow.","https://scispace.com/paper/distribution-of-coalescent-histories-under-the-coalescent-bx35urq0ii","2016","Journal Article","Molecular Phylogenetics and Evolution","Yuan Tian
Laura Kubatko","10.1016/J.YMPEV.2016.08.024","","","anomalous gene trees . More broadly, these studies led to the realization that the incomplete lineage sorting process could result in substantial variation in the evolutionary trees for individual genes, suggesting the importance of accounting for this process in inferring species-level phylogenies. Introduction:
 Another important insight was that the gene tree topology probability distribution identifies both the species tree topology and the length of the speciation intervals (in coalescent units) , which implies that if this distribution were known exactly then the species tree that produced it would also be known. This has led to the development of a collection of methods for inferring species trees from estimated gene trees . Some models that incorporate both gene flow and incomplete lineage sorting jointly have also been proposed. For example, a model with incomplete lineage sorting and gene flow leading to hybrid speciation was introduced to estimate the relative parental contributions to the hybrid taxon  and to detect hybridization within the framework of the coalescent model .  proposed a model that establishes a phylogenetic network to compute the probability of gene tree topologies , with ""horizontal"" branches in the network representing gene flow or hybridization events. A maximum likelihood method for inferring reticulate evolutionary histories with the existence of ILS was established by . Maximum pseudo-likelihood approaches have been used as a fast and simple way to infer phylogenetic networks under ILS . Furthermore,  developed methods for Bayesian inference of reticulate phylogenies under the multispecies network coalescent . Introduction:
 Isolation-with-migration (IM) models  have also been used to model both population splitting and gene flow.  recently used this basic model to characterize the genealogical process with both coalescence and migration. In particular,  calculated the distribution of coalescent histories under an IM model with two closely related species subject to gene flow and an outgroup species, and used this probability distribution to analyze sequence data for three taxa. They used the model to obtain estimates of relevant parameters and to develop a hypothesis test for gene flow in a maximum likelihood framework.  used the two-population IM model with an arbitrary number of lineages in each population and derived gene tree probability distributions under this model. They also developed procedures for inferring model parameters from sequence data in this setting. Introduction:
 Here we propose a model for three species (plus an outgroup species for rooting, not shown in Figure ) that allows gene flow between both pairs of sister populations. We formulate our model using the Markov chain representation of , which allows use of matrix exponentiation to compute analytical expressions for the probability density of coalescent histories. Introduction:
 We then use numerical integration to calculate the coalescent history distribution as well as the gene tree topology distribution under this coalescent model with gene flow. Our work provides an extension to the work of  that assumed no gene flow following speciation, in that it gives the entire probability distribution on gene tree topologies and coalescent histories under the coalescent model with gene flow between sister taxa. It thus enables consideration of identifiability of species tree parameters (extending the work of  to the case in which gene flow following speciation is possible), insight into existing methods for inferring species trees that use only the gene tree topology distribution (e.g., ; ; ; , and evaluation of which features of empirical data might be important in inference settings in which gene flow is present (e.g.,  )."
"An analytical comparison of multilocus methods under the multispecies coalescent: the three-taxon case.","https://scispace.com/paper/an-analytical-comparison-of-multilocus-methods-under-the-45uswvw9cb","2012","Proceedings Article","Pacific Symposium on Biocomputing","Sebastien Roch","10.1142/9789814447973_0029","https://scispace.com/pdf/an-analytical-comparison-of-multilocus-methods-under-the-45uswvw9cb.pdf","Incomplete lineage sorting (ILS) is a common source of gene tree incongruence in multilocus analyses. Numerous approaches have been developed to infer species trees in the presence of ILS. Here we provide a mathematical analysis of several coalescent-based methods. The analysis is performed on a three-taxon species tree and assumes that the gene trees are correctly reconstructed along with their branch lengths. It suggests that maximum likelihood (and some equivalents) can be significantly more accurate in this setting than other methods, especially as ILS gets more pronounced.","MULTILOCUS METHODS UNDER THE MULTISPECIES COALESCENT: THE THREE-TAXON CASE Authors: Sebastien Roch (Corresponding Author) Keywords: Multispecies coalescent, incomplete lineage sorting, gene tree/species tree Introduction:
 Incomplete lineage sorting (ILS) is an important confounding factor in phylogenetic analyses based on multiple genes or loci.  ILS is a population-level phenomenon that is caused by the failure of two lineages to coalesce in a population, leading to the possibility that one of the lineages first coalesces with a lineage from a less closely related population. As a result, it can produce extensive gene tree incongruence that must be accounted for appropriately in multilocus analyses.  A large number of methods have been developed to address this source of incongruence.  Several such methods rely on a statistical model of ILS known as the multispecies coalescent. In this model, populations are connected by a phylogeny. Independent coalescent processes are performed in each population and assembled to produce gene trees. Several methods have been shown to be statistically consistent under the multispecies coalescent, that is, they are guaranteed to return the correct species tree given enough loci.  The performance and accuracy of coalescent-based multilocus methods have been the subject of numerous simulation studies.  In this paper, we complement such studies with a detailed analytical comparison in a tractable test case, a three-taxon species tree. We analyze 7 methods: maximum likelihood (ML),  GLASS/Maximum Tree (MT),  R * ,  STAR,  minimizing deep coalescences (MDC), 1 STEAC,  and shallowest coalescences (SC).  Under the assumption that gene trees are reconstructed without estimation error, we derive the exponential decay rate of the failure probability as the internal branch length of the species tree varies. The analysis, which relies on large-deviations theory, reveals that ML and GLASS/MT are more accurate in this setting than the other methodsespecially in the regime where ILS is more common. Multispecies coalescent: Three-taxon case:
 We first describe the statistical model under which our analysis is performed, the multispecies coalescent. We only discuss the three-taxon case. For more details, see Ref. 2 and references therein. Multispecies coalescent: Three-taxon case:
 A weighted rooted tree is called ultrametric if each leaf is exactly at the same distance from the root. For a three-leaf ultrametric tree G with leaves a, b, and c, we denote by ab|c the topology where a and b are closer to each other than to c, and similarly for ac|b, bc|a. The topology of G is denoted by T"
"Gene tree discordance, phylogenetic inference and the multispecies coalescent","https://scispace.com/paper/gene-tree-discordance-phylogenetic-inference-and-the-4am74nkfjw","2009","Journal Article","Trends in Ecology and Evolution","James H. Degnan
James H. Degnan
Noah A. Rosenberg","10.1016/J.TREE.2009.01.009","https://scispace.com/pdf/gene-tree-discordance-phylogenetic-inference-and-the-4am74nkfjw.pdf","The field of phylogenetics is entering a new era in which trees of historical relationships between species are increasingly inferred from multilocus and genomic data. A major challenge for incorporating such large amounts of data into inference of species trees is that conflicting genealogical histories often exist in different genes throughout the genome. Recent advances in genealogical modeling suggest that resolving close species relationships is not quite as simple as applying more data to the problem. Here we discuss the complexities of genealogical discordance and review the issues that new methods for multilocus species tree inference will need to address to account successfully for naturally occurring genomic variability in evolutionary histories.","Box 4 could provide a useful framework for future research on gene tree discordance in phylogenetics. C o nclusio ns: In many cases, the answers to the questions posed in Box 4 will depend on the species under consideration. C o nclusio ns:
 B o x 4. O u tst a n din g q u estio ns (i) Which species tree estimators from multilocus data are statistically consistent, even when there are AGTs? Among consistent algorithms, which offer the fastest convergence to the species tree? (ii) Do computationally tractable ML algorithms exist that consistently infer the species tree while accounting for variation among gene trees? (iii) What are the effects of taxon sampling for methods of inferring species trees? Do improvements in gene tree estimation owing to increased taxon sampling lead to improvements in species tree estimation? (iv) What is the computational complexity of the evaluation of gene tree probabilities? For a given number of taxa, which gene tree-species tree combination maximizes the number of coalescent histories, and what is this maximum? If the gene tree matches the species tree, which topologies minimize and maximize the number of coalescent histories? (v) Is there a way of computing gene tree probabilities that does not depend linearly on the number of coalescent histories? (vi) For data sets with high levels of gene tree conflict, how can researchers determine whether an AGT is likely? How often do AGTs arise in real data sets? (vii) How sensitive are predictions under the multispecies coalescent to violations of assumptions? What outcomes are expected in cases with ancestral population structure or high levels of intragenic recombination? (viii) How much discordance in real data sets can be attributed to incomplete lineage sorting, hybridization, gene duplication, HGT, natural selection, recombination and sampling error? What are the best ways of distinguishing sources of discordance? (ix) How does heterogeneity in evolutionary processes interact with gene tree discordance in phylogenetic inference? To what extent do difficulties such as heterogeneity in sequence evolution compound the problems of gene tree discordance? (x) How should tradeoffs among sampling longer sequences, more genes and more individuals per species affect the design of multilocus phylogenetic studies?"
"Analysis of plastid and nuclear DNA data in plant phylogenetics—evaluation and improvement","https://scispace.com/paper/analysis-of-plastid-and-nuclear-dna-data-in-plant-2coah4ci2c","2014","Journal Article","Science China-life Sciences","Wei Wang
Hong-Lei Li
Zhi-Duan Chen","10.1007/S11427-014-4620-7","https://scispace.com/pdf/analysis-of-plastid-and-nuclear-dna-data-in-plant-2coah4ci2c.pdf","Correct combination of plastid (cp) and nuclear (nr) DNA data for plant phylogenetic reconstructions is not a new issue, but with an increasing number of nrDNA loci being used, it is of ever greater practical concern. For accurately reconstructing the phylogeny and evolutionary history of plant groups, correct treatment of phylogenetic incongruence is a vital step in the proper analysis of cpDNA and nrDNA data. We first evaluated the current status of analyzing cpDNA and nrDNA data by searching all articles published in the journal Systematic Botany between 2005 and 2011. Many studies combining cpDNA and nrDNA data did not rigorously assess the combinability of the data sets, or did not address in detail possible reasons for incongruence between the two data sets. By reviewing various methods, we outline a procedure to more accurately analyze and/or combine cpDNA and nrDNA data, which includes four steps: identifying significant incongruence, determining conflicting taxa, providing possible interpretations for incongruence, and reconstructing the phylogeny after treating incongruence. Particular attention is given to explanation of the cause of incongruence. We hope that our procedure will help raise awareness of the importance of rigorous analysis and help identify the cause of incongruence before combining cpDNA and nrDNA data.","incongruence, the similar sequences from different species could have coalesced either before or after the speciation event. Joly et al. describe a parametric approach for statistically distinguishing some hybridization events from incomplete lineage sorting scenarios based on minimum genetic distances. Provision of possible interpretations for incongruence:
 (v) Coalescence-based methods. Based on coalescent theory, ancestral polymorphisms are likely to coalesce within approximately 5 N e generations (N e being the effective population size) . Thus, congruence between gene trees and species trees is highly probable. If incongruence is to be explained by incomplete lineage sorting, one can calculate the assumed minimum N e . If the assumed N e is much higher than that observed in nature, then incomplete lineage sorting can be excluded, and hybridization is supported as the most likely explanation for the observed incongruence . Reconstruction of the phylogeny after treating incongruence:
 After conflicting taxa are identified and possible interpretations for incongruence are given, taxa responsible for the conflict are usually removed before the combined analysis of cpDNA and nrDNA data sets is carried out . This method may be problematic, however, in that the placement of the conflicting taxa cannot be indicated in the larger tree . If hybridization is responsible for the incongruence, van der Niet & Linder grafted subsequently the incongruent taxa onto the tree obtained from the combined analysis , whereas Pelser et al. performed the combined analysis of cpDNA and nrDNA data sets by recoding the incongruent taxa twice: once as a cpDNA-only accession (nrDNA characters were scored as missing) and once as a nrDNA-only accession (cpDNA characters were scored as missing) . If nrDNA lineage sorting is responsible for the incongruence, the combined analysis of cpDNA and nrDNA data sets can be carried out by recoding nrDNA characters as missing. Conclusion:
 If cpDNA and nrDNA data do indeed reflect different evolutionary histories, their data sets may result in different topologies, and a phylogenetic tree estimated from the simple combined data set would produce an incorrect estimate of the phylogeny or may sometimes represent an oversimplified version of the genetic history. To more accurately reconstruct the phylogeny and evolutionary history of plant groups, the combined analysis of cpDNA and nrDNA data sets must be done with caution, and if incongruence between the data sets exists, its possible causes should be addressed in detail."
"Algorithms for MDC-based multi-locus phylogeny inference","https://scispace.com/paper/algorithms-for-mdc-based-multi-locus-phylogeny-inference-4fmdjbhz8i","2011","Book Chapter","Research in Computational Molecular Biology","Yun Yu
Tandy Warnow
Luay Nakhleh","10.1007/978-3-642-20036-6_47","https://scispace.com/pdf/algorithms-for-mdc-based-multi-locus-phylogeny-inference-4fmdjbhz8i.pdf","One of the criteria for inferring a species tree from a collection of gene trees, when gene tree incongruence is assumed to be due to incomplete lineage sorting (ILS), is minimize deep coalescence, or MDC. Exact algorithms for inferring the species tree from rooted, binary trees under MDC were recently introduced. Nevertheless, in phylogenetic analyses of biological data sets, estimated gene trees may differ from true gene trees, be incompletely resolved, and not necessarily rooted. In this paper, we propose new MDC formulations for the cases where the gene trees are unrooted/binary, rooted/non-binary, and unrooted/nonbinary. Further, we prove structural theorems that allow us to extend the algorithms for the rooted/binary gene tree case to these cases in a straightforward manner. Finally, we study the performance of these methods in coalescent-based computer simulations.","Title: Algorithms for MDC-Based Multi-locus Phylogeny Inference Authors: Yun Yu,Tandy Warnow,Luay Nakhleh (Corresponding Author) Introduction:
 Biologists have long acknowledged that the evolutionary history of a set of speciesthe species tree-and that of a genomic region from those species-the gene treeneed not be congruent; e.g., . While many processes can cause gene/species tree incongruence, such as horizontal gene transfer and gene duplication/loss, we focus in this paper on incomplete lineage sorting, or ILS, which is best understood under the coalescent model , as we illustrate in Fig. . The coalescent model views gene lineages moving backward in time, eventually coalescing down to one lineage. In each time interval between species divergences (e.g., t in Fig. ), lineages entering the interval from a more recent time period may or may not coalesce-an event whose probability is determined largely by the population size and branch lengths. Introduction:
 Thus, a gene tree is viewed as a random variable conditional on a species tree. For the species tree ((AB)C), with time t between species divergences, the three possible outcomes for the gene tree topology random variable, along with their probabilities are shown in Fig. . With the advent of technologies that make it possible to obtain large amounts of sequence data from multiple species, multi-locus data are becoming widely available, highlighting the issue of gene tree discordance . Introduction:
 Several methods have been introduced for inferring a species tree from a collection of gene trees under ILS-based incongruence. Summary statistics, such as the majorityrule consensus (e.g., ) and democratic vote (e.g., ), are fast to compute ST gt1 gt2 gt3:
 Fig. . Gene/species tree incongruence due to ILS. Given species tree ST , with constant population size throughout and time t in coalescent units (number of generations divided by the population size) between the two divergence events, each of the three gene tree topologies gt1, gt2, and gt3 may be observed, with probabilities 1 − (2/3)e −t , (1/3)e −t , and (1/3)e −t , respectively. ST gt1 gt2 gt3:
 and provide a good estimate of the species tree in many cases. However, the accuracy of these methods suffer under certain conditions. Further, these methods do not provide explicit reconciliation scenarios; rather, they provide summaries of the gene trees. ST gt1 gt2 gt3:
 Recently, methods that explicitly model ILS were introduced, such as Bayesian inference , maximum likelihood , and the maximum parsimony criterion Minimize Deep Coalescence, or MDC . We introduced the first exact algorithms for inferring species trees under the MDC criterion from a collection of rooted, binary gene trees . Nevertheless, in phylogenetic analyses of biological data sets, estimated gene trees may differ from the true gene trees, may be incompletely resolved, and may not be rooted. Requiring gene trees to be fully resolved may result in gene trees with wrong branching patterns (e.g., those branches with low bootstrap support) that masquerade as true gene/species tree incongruence, thus resulting in over-, and possibly under-, estimation of deep coalescences."
"The Implications of Over-Estimating Gene Tree Discordance on a Rapid-Radiation Species Tree (Blattodea: Blaberidae)","https://scispace.com/paper/the-implications-of-over-estimating-gene-tree-discordance-on-1ifqo1w45y","2019","Posted Content","bioRxiv","Dominic A. Evangelista
Dominic A. Evangelista
Michael A. Gilchrist
Michael A. Gilchrist
Frédéric Legendre
Brian C. O'Meara","10.1101/717660","https://scispace.com/pdf/the-implications-of-over-estimating-gene-tree-discordance-on-1ifqo1w45y.pdf","Patterns of discordance between gene trees and the species trees they reside in are crucial to the debate over the superiority of coalescent or concatenation approaches to tree inference. However, errors in estimating gene tree topologies obfuscate the issue by making gene trees appear erroneously discordant with the species tree. We thus test the prevalence of discordance between gene trees and their species tree using an empirical dataset for a clade with a rapid radiation (Blaberidae). We find that one model of codon evolution (FMutSel0) prefers gene trees that are less discordant, while another (SelAC) shows no such preference. We compare the species trees resulting from the selected sets of gene trees on the basis of internal consistency, predictive ability, and congruence with independent data. The species tree resulting from gene trees those chosen by FMutSel0, a set with low discordance, is the most robust and biologically plausible. Thus, we conclude that the results from FMutSel0 are better supported: simple models (i.e., GTR and ECM) infer trees with erroneously high levels of gene tree discordance. Furthermore, the amount of discordance in the set of gene trees has a large effect on the downstream phylogeny. Thus, decreasing gene tree error by lessening erroneous discordance can result in higher quality species trees. These results allow us to support relationships among blaberid cockroaches that were previously in flux as they now demonstrate molecular and morphological congruence.","(Corresponding Author),Michael A Gilchrist,Frédéric Legendre,Brian O'meara,Affiliations Keywords: Congruence, incomplete lineage sorting, tree error, mutation selection, substitution model, evolutionary model, Insecta Introduction:
 Debates over the relative merits of concatenation or coalescent tree inference are ongoing .  posit that, the debate addresses the differences among gene tree topologies − concatenation represents a ""special case"" of coalescence where all gene tree topologies are presumed to be the same. Introduction:
 However, concatenation and coalescence usually yield largely similar topologies ) but see . This suggests the ""special case"", or nearly identical cases (i.e., where the vast majority of gene trees are the same), are not especially rare for many nodes on a phylogeny. We investigate how common gene tree to species tree (GTST) discordance is in under different evolutionary models. We approach this using an empirical dataset of Blaberidae cockroaches, a phylogeny that is difficult to infer due to a, presumably, rapid radiation . Introduction:
 The biological processes contributing to GTST discordance [i.e., incomplete lineage sorting (ILS), hybridization and lateral gene transfer ] can be accounted for through coalescent theory (e.g., . In many studies, ILS is presumed to be responsible for all discordance between gene trees and the species tree (e.g., , since hybridization and lateral gene transfer events are deemed more rare ). Yet, gene tree inaccuracy is also expected to contribute to GTST discordance. On reason being that modelling mutational variance within a gene tree is difficult . Some approaches account for uncertainty in gene trees when inferring a phylogeny through the coalescent process  but most methods do not . In either case, improved accuracy in gene trees would likely lead to more accurate species trees since coalescent methods are highly sensitive to small changes in gene trees  or rogue gene trees . Introduction:
 In this study, it is assumed that if estimated gene trees contain some phylogenetic error those errors will usually contribute to increased discordance with the species tree. With this assumption in mind, we test the abundance of GTST discordance using three evolutionary models to minimize gene tree error. Two selection-based codon models  and one nucleotide model (GTR; Tavaré and Miura 1986) are compared."
"Analysis of phylogenomic datasets reveals conflict, concordance, and gene duplications with examples from animals and plants","https://scispace.com/paper/analysis-of-phylogenomic-datasets-reveals-conflict-50wv5bbp1k","2015","Journal Article","BMC Evolutionary Biology","Stephen A. Smith
Michael J. Moore
Joseph W. Brown
Ya Yang","10.1186/S12862-015-0423-0","https://scispace.com/pdf/analysis-of-phylogenomic-datasets-reveals-conflict-50wv5bbp1k.pdf","The use of transcriptomic and genomic datasets for phylogenetic reconstruction has become increasingly common as researchers attempt to resolve recalcitrant nodes with increasing amounts of data. The large size and complexity of these datasets introduce significant phylogenetic noise and conflict into subsequent analyses. The sources of conflict may include hybridization, incomplete lineage sorting, or horizontal gene transfer, and may vary across the phylogeny. For phylogenetic analysis, this noise and conflict has been accommodated in one of several ways: by binning gene regions into subsets to isolate consistent phylogenetic signal; by using gene-tree methods for reconstruction, where conflict is presumed to be explained by incomplete lineage sorting (ILS); or through concatenation, where noise is presumed to be the dominant source of conflict. The results provided herein emphasize that analysis of individual homologous gene regions can greatly improve our understanding of the underlying conflict within these datasets. Here we examined two published transcriptomic datasets, the angiosperm group Caryophyllales and the aculeate Hymenoptera, for the presence of conflict, concordance, and gene duplications in individual homologs across the phylogeny. We found significant conflict throughout the phylogeny in both datasets and in particular along the backbone. While some nodes in each phylogeny showed patterns of conflict similar to what might be expected with ILS alone, the backbone nodes also exhibited low levels of phylogenetic signal. In addition, certain nodes, especially in the Caryophyllales, had highly elevated levels of strongly supported conflict that cannot be explained by ILS alone. This study demonstrates that phylogenetic signal is highly variable in phylogenomic data sampled across related species and poses challenges when conducting species tree analyses on large genomic and transcriptomic datasets. Further insight into the conflict and processes underlying these complex datasets is necessary to improve and develop adequate models for sequence analysis and downstream applications. To aid this effort, we developed the open source software phyparts (
 https://bitbucket.org/blackrim/phyparts
 ), which calculates unique, conflicting, and concordant bipartitions, maps gene duplications, and outputs summary statistics such as internode certainy (ICA) scores and node-specific counts of gene duplications.","Title: Analysis of phylogenomic datasets reveals conflict, concordance, and gene duplications with examples from animals and plants Authors: Stephen A Smith (Corresponding Author),Michael J Moore,Joseph W Brown,Ya Yang Keywords: Phylogenomics, Incomplete lineage sorting, Transcriptome, Gene tree conflict, Gene duplication"
